T24A11	Z49072.2
H15N14	Z96100.1
C08E8	Z81464.1
C16E9	FO080571.2
F42C5	FO080385.1
F10D2	FO081104.1
C02B10	FO080093.1
B0302	FO080160.2
T05A10	Z68108.1
F09A5	Z69788.1
AL032638.1	Y52B11B
T04A8	Z35663.2
C31E10	Z78539.1
FO081221.1	K03E5
T05A1	Z68219.1
D1009	FO080528.2
C44B7	FO080141.2
FO081686.2	R12B2
K05C4	Z81564.4
FO081501.1	T05H4
Z82095.1	ZK849
F56C4	Z70285.1
T23D5	Z82051.1
F45H11	Z78420.2
F25D1	Z73973.1
FO081533.1	H06N16
F14F9	FO080303.1
FO080545.1	W05H9
F14F7	Z81503.1
C36E8	Z35597.3
F14E5	Z66522.1
FO081570.1	Y71H2AR
FO081201.1	Y54H5A
FO081592.1	Y51H7BR
T22B3	Z68300.1
FO081445.1	K11D5
FO081333.1	R08E3
C52A11	Z46792.1
T02D1	Z83319.1
FO080322.1	W05E7
FO080134.1	Y49G5A
FO080783.1	K03H6
F33D11	FO080753.1
C13B4	Z81468.1
FO081700.1	ZK973
C02H6	FO080295.2
C24D10	FO080092.1
F48C1	FO080268.1
FO081353.1	K11H12
W01G7	Z81135.2
C50C10	Z72505.1
C17G10	FO080593.2
F07D3	Z71179.1
BE10	Z93372.1
FO081770.1	W04C9
C07A4	Z78536.1
FO080249.1	Y73B6A
F22F1	FO080273.2
F25H9	Z81069.2
FO080723.2	ZK1236
F57G4	Z81554.1
C56A3	Z77655.2
FO081374.1	Y40C5A
F13G11	Z83317.1
F57C2	Z83110.1
C48E7	FO080501.1
K11D2	Z83115.1
Y6G8	Z92973.1
C44B9	Z73424.2
T03E6	Z92812.1
F45H10	Z81538.2
C39H7	FO080234.2
F13B9	FO081136.2
FO080546.1	T13C5
CU457738.1	T24F3
C01F4	FO080261.1
F54D11	FO081360.1
C37C3	FO080808.2
T13H10	Z69361.1
H02I12	Z92789.1
FO080164.2	ZK370
FO081692.2	R119
AL023848.2	Y64F11A
FO081518.1	H04D19
F07E5	FO080110.1
F11C7	FO080804.1
C43D7	Z81483.2
FO080343.1	Y58A7A
F21H12	FO080717.1
C08B6	Z72502.1
FO081804.1	Y54E10BL
FO081138.1	M60
B0222	FO080127.2
C45B2	FO080451.1
F25C8	Z81512.1
FO081304.1	Y40B10A
AL590343.2	Y66A7AL
FO080512.1	ZK105
F17B5	Z81066.1
FO081110.2	T01C4
AL021172.2	Y17G7A
T26H2	Z82055.2
F25H10	FO081224.1
FO081562.1	Y54B9A
C14B4	Z81471.2
F08B6	FO080807.1
C54D2	FO080947.2
C18A3	FO080599.2
C08H9	Z54342.1
C47D2	FO080596.2
FO081603.1	Y39F10C
M02B1	Z81102.1
FO080360.1	R193
C29E4	FO080706.2
E02H1	Z47075.1
F44G3	Z83109.1
C52E12	FO080554.2
C33D8	FO080557.1
BX677430.1	VB0395L
C31A11	Z83218.1
FO081040.1	Y17G9B
FO081441.2	ZK1193
FO081056.1	K04A8
D1044	FO081000.2
FO081303.1	H27O22
FO081684.1	W06A11
FO081235.1	T20C4
F10D11	Z81057.1
F40B1	FO081337.1
AL023837.1	Y37H2C
H09F14	Z95391.2
AL110494.2	Y53F4A
F58E10	Z81555.1
FO081162.1	Y46H3D
FO080685.1	T05B11
FO081256.1	T22B11
F54B3	Z48583.1
C50A2	FO080853.1
F47G3	FO080847.1
AL022271.2	F32F2
AL023828.1	Y17G7B
AL033515.1	cTel17
Z75554.1	ZC455
C44E12	FO080864.1
DC2	FO081019.1
FO081330.2	T05B4
FO081806.2	Y54F10AM
C23H3	FO080632.1
F48B9	FO081051.2
F59A6	FO081284.2
F54D8	FO080874.2
FO080694.2	R144
F49D11	FO081424.1
FO080747.2	R07C3
F47G6	FO081322.1
R10H10	Z70686.3
AL021180.1	Y44F5A
C17A2	FO080577.1
H13N06	Z99942.1
C49D10	FO080578.1
AL023817.1	VF11C1L
F56E10	FO081492.1
FO081148.1	Y49F6C
T25C8	Z83241.1
C17G1	Z78415.1
AL032658.1	Y76A2B
FO080619.2	T12A2
Z22176.2	ZK1098
F43D2	Z83226.1
FO081696.2	T02C5
F38H12	FO081003.1
FO080498.1	T09D3
F16H9	Z50005.2
FO080991.1	W05H7
F16H11	FO080880.1
T28C6	Z54238.1
AL032651.1	Y6D1A
FO081776.1	W09G12
AL032646.2	Y54E2A
F49E8	FO081280.1
F41B5	FO081355.2
AL034543.2	Y81G3A
FO081541.1	H09I01
C17E7	FO080584.1
C30H7	FO080646.1
FO081529.1	H06H21
F44B9	FO080400.2
Z79698.1	ZK1014
F28F5	FO081246.1
AL110471.1	T06D10
F46G11	FO080955.1
FO080656.1	T05C3
T03D8	Z92838.1
F17E5	Z50873.2
F26B1	FO080500.1
FO080762.1	Y40C7B
F33E11	FO081281.2
FO081643.1	Y82E9BR
F43C11	FO081167.1
C54E4	FO080949.1
C33B4	Z48367.2
FO081508.1	M01A10
FO080635.1	Y76B12A
T21E8	Z70268.1
FO081524.1	H05C05
C34B7	Z83220.2
FO080984.1	Y38C1AB
FO081809.2	Y54G2A
FO081283.2	Y58G8A
C50E3	FO080913.1
F33G12	FO080686.1
FO081761.1	Y44E3B
R07A4	Z67756.1
FO080728.1	Y110A7A
FO081437.1	T15B12
C54G7	FO080821.1
Z81142.1	ZK1037
FO080613.1	R12E2
C14A11	FO080404.2
AL032623.2	Y43F8B
W01F3	Z92815.1
T10B9	Z48717.1
FO080967.1	T15B7
M01B2	Z83116.1
FO081674.1	T12B5
K08D8	Z73104.1
FO081314.1	Y45G12A
F56H9	Z74473.2
FO081233.2	VC5
C18G1	FO080620.1
R05H5	Z48795.2
F56D5	Z69662.1
FO081257.2	Y38C1AA
F35F11	FO081297.2
FO081115.1	T05A7
AL023843.1	Y48A6A
F55F10	FO081478.1
FO081626.2	K11C4
Y48E1B	Z93393.3
C51E3	Z78410.2
FO081591.1	K05F6
F19H6	Z68115.1
FO081693.1	T20H4
F28A10	FO081236.1
F49H6	Z81545.1
AL031266.3	VM106R
FO081568.1	H28G03
F33D4	FO080445.1
FO080233.1	T19E7
FO081513.1	Y39H10B
C02F4	Z81032.1
F38H4	Z77660.1
F43B10	FO080394.1
AL023858.1	ZK285
W06A7	Z78066.1
T23G11	Z81130.1
F01D5	Z81493.1
FO080419.1	W05D2
B0331	Z99102.2
F15B9	Z78013.2
F54C4	FO080712.1
AL033124.1	VH15N14R
T27D1	Z48245.1
F35G12	Z46242.3
C03E10	Z81458.1
FO081420.1	T24C12
W07E11	Z49868.1
C55C3	FO080964.1
FO081180.1	R105
FO081371.1	Y55H10B
C06E8	FO080390.2
F16B3	FO081158.1
FO081769.2	Y37E3
F30A10	Z81072.1
Z82093.2	ZK39
C48C5	FO080641.2
T21C9	Z73098.2
T19H5	Z47745.2
T16G1	Z81592.1
D1069	FO080836.1
AL023852.1	Y6D6A
BE0003N10	FO080241.1
F27E11	FO080271.1
FO080648.1	T18H9
F49F1	FO080785.1
C04F2	FO080339.1
T26H10	Z74044.1
F47B8	Z77662.1
C23H5	FO080634.2
AL110479.3	Y105C5B
AL032664.1	Y91F4A
FO081526.1	R10F2
T04F8	Z66565.2
FO081265.1	R03H10
FO080397.1	Y43B11AL
H36L18	Z95309.2
FO081021.2	Y108G3AR
F44E7	FO080929.1
AL032675.1	VT23B5
B0284	Z30973.1
F18G5	FO080202.1
FO080661.1	W10D9
FO080606.1	T27A10
T14B1	Z46829.2
Z73898.1	ZK822
FO081500.2	T07E3
F31F6	Z69884.1
F14H8	Z81061.1
FO081713.1	T06A4
C05C8	FO080353.2
C04F5	FO080342.2
FO081273.1	K08B12
W09G3	Z82080.1
Z82084.1	ZK1053
F54F2	FO081385.1
FO081790.1	Y39A3CM
VD1046R	Z84713.1
F22B7	FO080222.2
AL032632.2	Y11D7A
FO081606.2	T11F1
FO081354.1	M03A8
T10G3	Z81118.1
FO080894.1	K02A6
FO081648.2	R57
F56A12	Z81551.1
FO081797.1	Y46E12BM
T28D6	Z81134.1
FO080811.1	Y38F2AL
3R5	AL032671.1
FO080615.1	Y42H9AL
C05A2	Z73968.2
FO081772.1	Y50D7A
T02G6	Z81583.1
K10D6	Z74040.1
FO081528.1	Y38B5A
W02A11	Z82062.1
Z78019.1	ZK863
E02H9	FO081030.1
